"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"243",2008,1,21,"UA","SEA",24,42,679,NA
"244",2008,1,31,"DL","ATL",-2,-22,665,NA
"245",2008,1,19,"AA","MIA",0,-3,1121,NA
"246",2008,1,22,"YV","PHX",-4,-5,119,NA
"247",2008,1,2,"WN","OAK",17,10,646,NA
"248",2008,1,14,"FL","MCO",-1,-16,1121,NA
"249",2008,1,19,"MQ","CHA",-12,-42,501,NA
"250",2008,1,14,"FL","MCO",-2,-7,403,NA
"251",2008,1,3,"AQ","HNL",-5,-6,102,NA
"252",2008,1,18,"MQ","SJC",-8,-3,418,NA
"253",2008,1,24,"US","SFO",-2,18,651,NA
"254",2008,1,11,"OO","RDD",92,88,199,NA
"255",2008,1,29,"UA","DFW",-5,1,802,NA
"256",2008,1,22,"MQ","SJT",59,54,228,NA
"257",2008,1,11,"9E","IND",35,14,587,NA
"258",2008,1,28,"MQ","JFK",52,28,892,NA
"259",2008,1,9,"WN","RNO",-6,-13,189,NA
"260",2008,1,29,"FL","DCA",0,15,547,NA
"261",2008,1,10,"YV","DEN",-5,-9,251,NA
"262",2008,1,29,"DL","MEM",77,71,332,NA
"263",2008,1,11,"OO","DEN",-7,-20,423,NA
"264",2008,1,19,"DL","ATL",0,4,403,NA
"265",2008,1,5,"AA","SJU",-1,12,1597,NA
"266",2008,1,8,"NW","DTW",-4,8,231,NA
"267",2008,1,30,"CO","EWR",20,9,1024,NA
"268",2008,1,29,"WN","BNA",-3,-15,588,NA
"269",2008,1,4,"AA","AUS",0,13,1242,NA
"270",2008,1,24,"XE","CAE",-9,-33,602,NA
"271",2008,1,1,"9E","DTW",NA,NA,163,NA
"272",2008,1,25,"XE","GRR",-6,-6,214,NA
"273",2008,1,12,"WN","SEA",2,-15,1733,NA
"274",2008,1,4,"OO","ORD",-7,1,760,NA
"275",2008,1,20,"WN","BWI",-3,-7,1342,NA
"276",2008,1,25,"WN","LAS",18,6,2027,NA
"277",2008,1,15,"EV","ATL",3,-2,500,NA
"278",2008,1,30,"YV","FAT",12,3,493,NA
"279",2008,1,12,"OH","CVG",-5,-3,214,NA
"280",2008,1,30,"B6","RIC",-1,-1,474,NA
"281",2008,1,5,"MQ","DFW",-7,-8,927,NA
"282",2008,1,12,"EV","HHH",-2,-17,239,NA
"283",2008,1,15,"DL","IAD",-4,-3,533,NA
"284",2008,1,28,"9E","MEM",7,6,700,NA
"285",2008,1,20,"WN","ABQ",-7,-13,487,NA
"286",2008,1,30,"XE","RDU",-5,-14,416,NA
"287",2008,1,20,"US","DEN",-6,-18,602,NA
