"YEAR","MONTH","CARRIER","EMPTOTAL",
2008,5,"CO",40444,
2008,5,"CP",551,
2008,5,"CS",1275,
2008,5,"DL",51483,
2008,5,"ER",977,
2008,5,"EV",4645,
2008,5,"EZ",484,
2008,5,"F2",10,
2008,5,"F9",5617,
2008,5,"FCQ",60,
2008,5,"FE",129,
2008,5,"FL",8624,
2008,5,"FX",145124,
2008,5,"G4",1492,
2008,5,"G7",351,
2008,5,"GFQ",70,
2008,5,"GL",389,
2008,5,"GR",384,
2008,5,"HA",3591,
2008,5,"JW",463,
2008,5,"KAQ",1013,
2008,5,"KLQ",44,
2008,5,"L2",162,
2008,5,"L4",364,
2008,5,"M6",591,
2008,5,"MG",565,
2008,5,"MQ",10496,
2008,5,"MRQ",108,
2008,5,"NA",862,
2008,5,"NC",235,
2008,5,"NK",2645,
2008,5,"NW",30811,
2008,5,"OH",6338,
2008,5,"OO",10395,
2008,5,"OW",1985,
2008,5,"PCQ",449,
2008,5,"PFQ",44,
2008,5,"PO",441,
2008,5,"PRQ",75,
2008,5,"PT",227,
2008,5,"QX",4096,
2008,5,"RD",631,
2008,5,"RW",1489,
2008,5,"S5",1175,
2008,5,"SI",27,
2008,5,"SLQ",120,
2008,5,"SY",916,
2008,5,"U5",644,
2008,5,"U7",401,
2008,5,"UA",55017,
2008,5,"US",35938,
2008,5,"VCQ",0,
2008,5,"VX",1161,
2008,5,"WE",671,
2008,5,"WI",222,
2008,5,"WN",34242,
2008,5,"WO",1310,
2008,5,"X9",1063,
2008,5,"XE",7707,
2008,5,"XJ",3690,
2008,5,"XP",130,
2008,5,"YV",2957,
2008,5,"YX",2301,
2008,5,"ZW",3182,
2008,6,"09Q",122,
2008,6,"16",1098,
2008,6,"3Z",298,
2008,6,"5X",6092,
2008,6,"5Y",1225,
2008,6,"8C",406,
2008,6,"9E",4140,
2008,6,"9L",1427,
2008,6,"9S",543,
2008,6,"AA",78456,
2008,6,"ABX",9921,
2008,6,"AJQ",254,
2008,6,"AMQ",35,
2008,6,"KH",399,
2008,6,"AS",10691,
2008,6,"B6",11990,
2008,6,"BNQ",4,
2008,6,"CO",40285,
2008,6,"CP",594,
2008,6,"CS",1283,
2008,6,"DL",51679,
2008,6,"ER",947,
2008,6,"EV",4620,
2008,6,"EZ",490,
2008,6,"F2",10,
2008,6,"F9",5459,
2008,6,"FCQ",60,
2008,6,"FE",124,
2008,6,"FL",8639,
2008,6,"FX",144757,
2008,6,"G4",1488,
2008,6,"G7",357,
2008,6,"GFQ",70,
2008,6,"GL",393,
2008,6,"GR",384,
2008,6,"HA",3674,
2008,6,"JW",470,
2008,6,"KAQ",1011,
2008,6,"KLQ",46,
2008,6,"L2",161,
2008,6,"L4",376,
2008,6,"M6",566,
2008,6,"MQ",10435,
2008,6,"MRQ",101,
2008,6,"NA",848,
2008,6,"NC",228,
2008,6,"NK",2600,
2008,6,"NW",30849,
2008,6,"OH",6395,
2008,6,"OO",10377,
2008,6,"OW",1975,
2008,6,"PCQ",456,
2008,6,"PFQ",44,
2008,6,"PO",435,
2008,6,"PRQ",75,
2008,6,"PT",226,
2008,6,"QX",4041,
2008,6,"RD",475,
2008,6,"RW",1363,
2008,6,"S5",1186,
2008,6,"SI",29,
2008,6,"SLQ",120,
2008,6,"SY",894,
2008,6,"U5",590,
2008,6,"U7",401,
2008,6,"UA",54457,
2008,6,"US",35719,
2008,6,"VCQ",0,
2008,6,"VX",1228,
2008,6,"WE",655,
2008,6,"WI",77,
2008,6,"WN",34373,
2008,6,"WO",1341,
2008,6,"X9",1057,
2008,6,"XE",7486,
2008,6,"XJ",3807,
2008,6,"XP",118,
2008,6,"YV",2926,
2008,6,"YX",2259,
2008,6,"ZW",3269,
2008,7,"09Q",123,
2008,7,"16",1064,
2008,7,"3Z",305,
2008,7,"5X",6089,
2008,7,"5Y",1246,
2008,7,"8C",404,
2008,7,"9E",4149,
2008,7,"9L",1385,
2008,7,"9S",545,
2008,7,"AA",78438,
2008,7,"ABX",9650,
2008,7,"AJQ",250,
2008,7,"AMQ",35,
2008,7,"KH",394,
2008,7,"AS",10635,
2008,7,"B6",11878,
2008,7,"BNQ",4,
2008,7,"CO",40050,
2008,7,"CP",641,
2008,7,"CS",1272,
2008,7,"DL",50675,
2008,7,"ER",945,
2008,7,"EV",4575,
2008,7,"EZ",492,
2008,7,"F2",6,
2008,7,"F9",5248,
2008,7,"FCQ",62,
2008,7,"FL",8541,
2008,7,"FX",144350,
2008,7,"G4",1523,
2008,7,"G7",364,
2008,7,"GFQ",68,
2008,7,"GL",396,
2008,7,"HA",3715,
2008,7,"JW",463,
2008,7,"KAQ",1021,
2008,7,"KLQ",49,
2008,7,"L2",163,
2008,7,"L4",358,
2008,7,"M6",545,
2008,7,"MQ",10350,
2008,7,"MRQ",95,
2008,7,"NA",827,
2008,7,"NC",231,
2008,7,"NK",2469,
2008,7,"NW",30593,
2008,7,"OH",6575,
2008,7,"OO",10182,
2008,7,"OW",1950,
2008,7,"PCQ",461,
2008,7,"PFQ",44,
2008,7,"PO",422,
2008,7,"PRQ",71,
2008,7,"PT",220,
2008,7,"QX",3980,
2008,7,"RD",494,
2008,7,"RW",1282,
2008,7,"S5",1149,
2008,7,"SLQ",125,
2008,7,"SY",878,
2008,7,"U5",579,
2008,7,"U7",330,
2008,7,"UA",53724,
2008,7,"US",35350,
2008,7,"VCQ",0,
2008,7,"VX",1240,
2008,7,"WE",636,
2008,7,"WI",77,
2008,7,"WN",34644,
2008,7,"WO",1365,
2008,7,"X9",1037,
2008,7,"XE",7307,
2008,7,"XJ",3810,
2008,7,"XP",127,
2008,7,"YV",3021,
2008,7,"YX",2119,
2008,7,"ZW",3183,
2008,8,"09Q",123,
2008,8,"16",1040,
2008,8,"3Z",308,
2008,8,"5X",6082,
2008,8,"5Y",1215,
2008,8,"8C",396,
2008,8,"9E",4174,
2008,8,"9L",1396,
2008,8,"9S",542,
2008,8,"AA",77815,
2008,8,"ABX",9066,
2008,8,"AJQ",246,
2008,8,"AMQ",35,
2008,8,"KH",382,
2008,8,"AS",10577,
2008,8,"B6",11779,
2008,8,"BNQ",4,
2008,8,"CO",38995,
2008,8,"CP",690,
2008,8,"CS",1259,
2008,8,"DL",49819,
2008,8,"ER",932,
2008,8,"EV",4554,
2008,8,"EZ",492,
2008,8,"F9",5055,
2008,8,"FCQ",62,
2008,8,"FE",106,
2008,8,"FL",8302,
2008,8,"FX",143689,
2008,8,"G4",1505,
2008,8,"G7",383,
2008,8,"GFQ",67,
2008,8,"GL",389,
2008,8,"HA",3702,
2008,8,"JW",462,
2008,8,"KAQ",1018,
2008,8,"KLQ",50,
2008,8,"L2",160,
2008,8,"L4",368,
2008,8,"M6",544,
2008,8,"MQ",10293,
2008,8,"MRQ",98,
2008,8,"NC",231,
2008,8,"NK",2380,
2008,8,"NW",30238,
2008,8,"OH",6302,
2008,8,"OO",10017,
2008,8,"OW",1861,
2008,8,"PCQ",473,
2008,8,"PFQ",43,
2008,8,"PO",413,
2008,8,"PRQ",74,
2008,8,"PT",223,
2008,8,"QX",3898,
2008,8,"RD",582,
2008,8,"RW",1284,
2008,8,"S5",1151,
2008,8,"SI",34,
2008,8,"SLQ",130,
2008,8,"SY",811,
2008,8,"U5",579,
2008,8,"U7",330,
2008,8,"UA",52665,
2008,8,"US",34959,
2008,8,"VCQ",0,
2008,8,"VX",1193,
2008,8,"WE",630,
2008,8,"WI",76,
2008,8,"WN",35644,
2008,8,"WO",1402,
2008,8,"X9",1052,
2008,8,"XE",7146,
2008,8,"XJ",3782,
2008,8,"XP",126,
2008,8,"YV",3062,
2008,8,"YX",2005,
2008,8,"ZW",3248,
2008,9,"09Q",128,
2008,9,"16",993,
2008,9,"3Z",303,
2008,9,"5X",6088,
2008,9,"5Y",1203,
2008,9,"8C",401,
2008,9,"9E",4164,
2008,9,"9L",1387,
2008,9,"9S",547,
2008,9,"AA",75701,
2008,9,"ABX",8492,
2008,9,"AJQ",248,
2008,9,"AMQ",35,
2008,9,"KH",382,
2008,9,"AS",10424,
2008,9,"B6",11762,
2008,9,"BNQ",4,
2008,9,"CO",38086,
