"","YEAR","MONTH","DAY_OF_MONTH","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"187",2009,6,14,"MDW","PDX",53,36,1751,NA
"188",2009,6,18,"DEN","MSP",8,-2,680,NA
"189",2009,6,27,"BNA","CLT",-6,3,329,NA
"190",2009,6,7,"CMH","IAH",-2,-9,986,NA
"191",2009,6,20,"DEN","FAR",-5,-19,627,NA
"192",2009,6,9,"STL","BWI",34,25,737,NA
"193",2009,6,1,"MDW","RSW",-3,-12,1105,NA
"194",2009,6,22,"DCA","DFW",3,1,1192,NA
"195",2009,6,12,"ATL","FLO",240,239,273,NA
"196",2009,6,26,"LAS","MSP",7,-6,1300,NA
"197",2009,6,13,"DTW","IAH",1,-11,1076,NA
"198",2009,6,26,"BWI","SEA",-5,4,2335,NA
"199",2009,6,1,"EWN","ATL",-6,15,433,NA
"200",2009,6,17,"LEX","DCA",30,26,414,NA
"201",2009,6,5,"ATL","GPT",5,-5,352,NA
"202",2009,6,3,"SLC","PHX",6,-9,507,NA
"203",2009,6,20,"SCE","DTW",6,8,300,NA
"204",2009,6,11,"EWR","ATL",37,76,745,NA
"205",2009,6,12,"BRO","IAH",-10,-11,308,NA
"206",2009,6,25,"IAD","JFK",-3,-1,228,NA
"207",2009,6,21,"ILM","CLT",8,-1,185,NA
"208",2009,6,5,"DFW","PHX",37,29,868,NA
"209",2009,6,26,"ANC","OGG",14,-6,2797,NA
"210",2009,6,3,"PHL","BOS",-7,33,280,NA
"211",2009,6,15,"LAX","PHX",-2,-7,370,NA
"212",2009,6,20,"BOS","IAD",-8,-22,413,NA
"213",2009,6,25,"ATL","BOS",-1,7,946,NA
"214",2009,6,15,"DFW","LCH",-4,-10,295,NA
"215",2009,6,19,"CLT","BUF",1,2,546,NA
"216",2009,6,13,"IAH","TUL",-1,6,429,NA
"217",2009,6,19,"EUG","SFO",-7,-1,451,NA
"218",2009,6,30,"DEN","FAR",3,-7,627,NA
"219",2009,6,10,"ATW","MKE",-10,-15,96,NA
"220",2009,6,20,"ATL","DFW",-2,-11,732,NA
"221",2009,6,27,"BNA","JFK",0,-4,766,NA
"222",2009,6,22,"BWI","ISP",0,-5,220,NA
"223",2009,6,25,"IAH","BWI",-2,-1,1235,NA
"224",2009,6,30,"SFO","PHX",-2,-9,651,NA
"225",2009,6,10,"MCO","DFW",-5,-15,984,NA
"226",2009,6,20,"IAD","LAX",0,-8,2288,NA
"227",2009,6,19,"CLE","LGA",-7,3,418,NA
"228",2009,6,26,"BFL","LAX",-8,-14,109,NA
"229",2009,6,5,"SEA","ORD",-5,-27,1721,NA
"230",2009,6,4,"ALB","CLE",-10,-15,424,NA
"231",2009,6,3,"ATL","GPT",31,29,352,NA
"232",2009,6,19,"CLE","MSN",-5,-4,402,NA
"233",2009,6,7,"ORD","DTW",-4,0,235,NA
"234",2009,6,26,"BIS","ORD",-10,-27,716,NA
"235",2009,6,8,"ATL","GPT",72,60,352,NA
"236",2009,6,15,"SFO","RNO",2,-3,192,NA
"237",2009,6,23,"LAX","CLD",-4,-7,86,NA
"238",2009,6,23,"JFK","LAX",4,18,2475,NA
"239",2009,6,14,"DFW","BOS",2,-6,1562,NA
"240",2009,6,24,"LAX","JFK",-1,-16,2475,NA
"241",2009,6,22,"FAT","DEN",74,65,844,NA
"242",2009,6,8,"OGG","SFO",-19,2,2338,NA
"243",2009,6,22,"DFW","CVG",41,43,812,NA
"244",2009,6,26,"IAH","SAT",5,-4,191,NA
"245",2009,6,15,"JFK","BOS",0,-4,187,NA
"246",2009,6,1,"HOU","MDW",18,19,937,NA
"247",2009,6,14,"SFO","MSP",20,18,1589,NA
"248",2009,6,27,"LAX","OAK",3,9,337,NA
"249",2009,6,12,"ROC","CLE",-2,-9,245,NA
"250",2009,6,9,"BUR","LAS",-3,-10,223,NA
"251",2009,6,12,"DTW","EWR",67,84,487,NA
"252",2009,6,5,"ATL","MOB",13,12,302,NA
"253",2009,6,23,"SFO","ORD",16,8,1846,NA
"254",2009,6,22,"BUF","JFK",8,7,301,NA
"255",2009,6,30,"OGG","HNL",8,14,100,NA
"256",2009,6,2,"MKE","ATL",-10,-15,669,NA
"257",2009,6,8,"JFK","PIT",14,23,340,NA
"258",2009,6,13,"IAH","BTR",0,-5,253,NA
"259",2009,6,7,"DSM","MEM",7,19,490,NA
"260",2009,6,13,"MSO","SLC",0,-7,436,NA
"261",2009,6,28,"EWR","ATL",1,-20,745,NA
"262",2009,6,10,"SFO","GEG",87,95,733,NA
"263",2009,6,1,"SRQ","ATL",0,-10,445,NA
"264",2009,6,9,"PHL","ORD",65,182,678,NA
"265",2009,6,5,"MSY","EWR",6,-14,1167,NA
"266",2009,6,18,"BWI","JFK",16,20,184,NA
"267",2009,6,24,"ATL","MCO",-1,-14,403,NA
"268",2009,6,15,"DTW","AVP",-4,-18,398,NA
"269",2009,6,3,"MSP","ORD",-2,-1,334,NA
"270",2009,6,3,"LGA","DCA",-8,-4,214,NA
"271",2009,6,28,"CLE","LAS",-5,10,1825,NA
"272",2009,6,30,"LGA","ORD",-4,-24,733,NA
"273",2009,6,3,"LGA","ORD",-4,-13,733,NA
"274",2009,6,26,"CMH","IAH",-3,-23,986,NA
"275",2009,6,27,"DFW","DEN",-5,-21,641,NA
"276",2009,6,30,"EWR","GSO",0,-8,446,NA
"277",2009,6,29,"ATL","PDX",4,19,2172,NA
"278",2009,6,22,"CMI","ORD",-5,-3,135,NA
"279",2009,6,12,"EWR","DEN",24,20,1605,NA
"280",2009,6,16,"LAX","OXR",-3,-9,49,NA
"281",2009,6,4,"BHM","DFW",435,419,597,NA
"282",2009,6,2,"DEN","LGA",57,50,1619,NA
"283",2009,6,18,"LAX","PDX",-3,-9,834,NA
"284",2009,6,26,"PNS","IAH",-10,-18,489,NA
"285",2009,6,12,"CLT","LAS",16,42,1916,NA
"286",2009,6,9,"BNA","MCO",37,18,616,NA
"287",2009,6,25,"SJC","DFW",-4,3,1439,NA
"288",2009,6,6,"SLC","SEA",51,39,689,NA
"289",2009,6,2,"DTW","RIC",1,-4,456,NA
"290",2009,6,15,"DEN","PHX",2,11,602,NA
"291",2009,6,29,"IND","DTW",-10,-13,231,NA
"292",2009,6,2,"ONT","PHX",26,22,325,NA
"293",2009,6,17,"PHL","SJU",129,151,1576,NA
"294",2009,6,13,"DEN","ONT",1,6,819,NA
"295",2009,6,1,"BNA","DEN",-5,-12,1013,NA
"296",2009,6,14,"ATL","MSP",2,1,906,NA
"297",2009,6,20,"FLL","EWR",-2,13,1065,NA
"298",2009,6,17,"IND","EWR",-5,-1,644,NA
"299",2009,6,17,"JAX","ATL",43,34,270,NA
"300",2009,6,13,"ATL","JFK",31,17,760,NA
"301",2009,6,25,"SJC","ONT",51,47,334,NA
"302",2009,6,26,"LAS","LGB",-3,-6,231,NA
"303",2009,6,29,"ICT","ORD",-7,-16,588,NA
"304",2009,6,2,"GGG","DFW",-5,39,140,NA
"305",2009,6,4,"IND","EWR",-3,-18,644,NA
"306",2009,6,7,"ATL","TPA",-2,-11,406,NA
"307",2009,6,28,"OMA","IAH",-10,-7,781,NA
"308",2009,6,7,"PHL","PHX",-7,18,2075,NA
"309",2009,6,15,"LAS","SJC",5,13,387,NA
"310",2009,6,14,"HNL","ITO",-1,2,216,NA
"311",2009,6,8,"LIT","DEN",23,25,771,NA
"312",2009,6,23,"CLT","LAX",0,-14,2125,NA
"313",2009,6,30,"ORD","MSP",74,60,334,NA
"314",2009,6,5,"LAX","HNL",-4,-2,2556,NA
"315",2009,6,19,"MDW","ATL",-4,-13,590,NA
"316",2009,6,13,"IAH","VPS",-4,-2,528,NA
"317",2009,6,15,"BNA","BWI",0,-8,588,NA
"318",2009,6,5,"DTW","OMA",0,3,651,NA
"319",2009,6,2,"EWR","LAX",-3,-16,2454,NA
"320",2009,6,13,"PHX","SMF",19,18,647,NA
"321",2009,6,22,"HNL","ITO",0,6,216,NA
"322",2009,6,28,"PHL","MIA",35,38,1013,NA
"323",2009,6,20,"ATL","LAX",8,-9,1946,NA
"324",2009,6,11,"CVG","TPA",100,94,773,NA
"325",2009,6,28,"HOU","LAS",14,0,1235,NA
"326",2009,6,21,"SLC","FCA",-5,-22,532,NA
"327",2009,6,14,"PHL","PHX",2,17,2075,NA
"328",2009,6,16,"SAT","DFW",-1,-9,247,NA
"329",2009,6,28,"IAD","SEA",-1,9,2306,NA
"330",2009,6,30,"ONT","OAK",-2,-6,362,NA
"331",2009,6,23,"DTW","TYS",4,7,443,NA
"332",2009,6,13,"BOS","LAX",-2,0,2611,NA
"333",2009,6,27,"BWI","DAY",0,-3,406,NA
"334",2009,6,29,"RDU","MDW",-4,-4,632,NA
"335",2009,6,5,"JFK","MSY",92,66,1182,NA
"336",2009,6,2,"DCA","BOS",-10,-9,399,NA
"337",2009,6,5,"SEA","SLC",-9,4,689,NA
"338",2009,6,30,"PIT","SFO",18,-6,2254,NA
"339",2009,6,2,"AVL","ATL",0,13,164,NA
"340",2009,6,5,"SNA","ORD",-4,-9,1726,NA
"341",2009,6,1,"OGG","LAX",2,-11,2486,NA
"342",2009,6,18,"SNA","DFW",-5,-1,1205,NA
"343",2009,6,26,"PHX","OMA",10,1,1037,NA
"344",2009,6,20,"LAX","DEN",50,26,862,NA
"345",2009,6,24,"LAX","LAS",21,9,236,NA
"346",2009,6,8,"JFK","LAX",-4,-19,2475,NA
"347",2009,6,10,"PHX","PDX",-5,-19,1009,NA
"348",2009,6,3,"ATL","CHS",-10,-5,259,NA
"349",2009,6,24,"DCA","DSM",70,61,897,NA
"350",2009,6,17,"PHX","MDW",-1,-13,1444,NA
"351",2009,6,16,"MCO","MSY",2,-15,550,NA
"352",2009,6,4,"ATL","CHS",39,27,259,NA
"353",2009,6,29,"CLT","PIT",-3,1,366,NA
"354",2009,6,8,"DCA","LGA",-2,-9,214,NA
"355",2009,6,9,"SMF","LAX",-5,-7,373,NA
"356",2009,6,24,"DAL","TUL",12,26,237,NA
"357",2009,6,5,"ATL","EWR",177,184,745,NA
"358",2009,6,7,"DEN","MCI",0,8,533,NA
"359",2009,6,9,"RNO","SFO",-6,-3,192,NA
"360",2009,6,10,"ORD","SGF",-5,17,438,NA
"361",2009,6,5,"GRR","ORD",-5,-1,137,NA
"362",2009,6,28,"FLL","IAH",-5,-22,965,NA
"363",2009,6,23,"ABQ","BWI",4,-4,1670,NA
"364",2009,6,10,"ORD","MBS",-10,-18,222,NA
"365",2009,6,1,"SDF","EWR",-9,-21,642,NA
"366",2009,6,17,"OAK","MDW",172,155,1844,NA
"367",2009,6,21,"LGA","TYS",58,41,647,NA
"368",2009,6,29,"DEN","BNA",-3,-13,1013,NA
"369",2009,6,8,"BOS","LGA",-6,3,185,NA
"370",2009,6,26,"CLE","CLT",-1,-7,430,NA
"371",2009,6,18,"PHL","DFW",-3,7,1302,NA
"372",2009,6,29,"DTW","ORD",-1,-10,235,NA
"373",2009,6,2,"TXK","DFW",29,27,181,NA
"374",2009,6,8,"ATL","ORD",47,34,606,NA
"375",2009,6,4,"OAK","LAX",0,-3,337,NA
"376",2009,6,29,"PHL","LAX",-1,5,2401,NA
"377",2009,6,16,"DFW","JAX",25,14,919,NA
